Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,36.869999,36.939999,36.270000,36.810001,32.820557,33565700
2021-01-05,36.720001,37.369999,36.599998,37.189999,33.159374,29909400
2021-01-06,36.830002,37.480000,36.770000,36.869999,32.874054,34962500
2021-01-07,37.040001,37.150002,36.669998,37.060001,33.043465,27809500
2021-01-08,37.160000,37.529999,36.900002,37.130001,33.105881,33462400
2021-01-11,37.220001,37.830002,37.150002,37.770000,33.676514,47286900
2021-01-12,37.700001,37.790001,36.820000,37.180000,33.150455,47831100
2021-01-13,37.000000,37.169998,36.639999,36.860001,32.865135,31027900
2021-01-14,36.779999,36.959999,36.610001,36.750000,32.767059,30272000
2021-01-15,36.680000,36.779999,36.400002,36.700001,32.722481,34287800
2021-01-19,36.759998,37.000000,36.619999,36.730000,32.749226,33451300
2021-01-20,36.790001,36.810001,36.459999,36.500000,32.544159,35400100
2021-01-21,36.389999,36.590000,36.150002,36.480000,32.526318,33829700
2021-01-22,36.320000,36.830002,36.250000,36.549999,32.588737,26271200
2021-01-25,36.549999,37.290001,36.320000,37.279999,33.239624,31728500
2021-01-26,37.270000,37.599998,37.160000,37.310001,33.266369,27718700
2021-01-27,36.990002,37.040001,36.169998,36.240002,32.312344,50561200
2021-01-28,35.950001,36.330002,35.840000,35.860001,32.321354,39466700
2021-01-29,36.880001,36.880001,35.619999,35.900002,32.357399,60251900
2021-02-01,35.930000,36.189999,35.720001,35.799999,32.267269,40395800
2021-02-02,35.759998,35.779999,34.270000,34.990002,31.537199,84062400
2021-02-03,34.990002,35.290001,34.779999,34.840000,31.402000,38524200
2021-02-04,34.810001,35.080002,34.700001,34.889999,31.447069,34284900
2021-02-05,34.919998,35.080002,34.779999,34.919998,31.474110,31749600
2021-02-08,34.959999,35.009998,34.740002,34.820000,31.383976,31633900
2021-02-09,34.799999,35.060001,34.759998,34.970001,31.519175,30170200
2021-02-10,35.000000,35.080002,34.700001,34.740002,31.311865,29039900
2021-02-11,34.799999,34.810001,34.279999,34.430000,31.032463,30885200
2021-02-12,34.439999,34.950001,34.360001,34.720001,31.293850,25578600
2021-02-16,34.849998,34.860001,34.560001,34.689999,31.266800,28730300
2021-02-17,34.570000,35.000000,34.459999,34.889999,31.447069,26389400
2021-02-18,34.779999,34.880001,34.520000,34.560001,31.149637,24052500
2021-02-19,34.660000,34.680000,34.400002,34.439999,31.041470,28145300
2021-02-22,34.330002,34.369999,34.040001,34.259998,30.879232,34322500
2021-02-23,34.000000,34.189999,33.680000,33.910000,30.563772,37624200
2021-02-24,33.869999,34.049999,33.669998,33.750000,30.419567,30686100
2021-02-25,33.820000,34.110001,33.540001,33.820000,30.482658,37506100
2021-02-26,33.840000,33.900002,33.360001,33.490002,30.185225,41462800
2021-03-01,33.590000,33.930000,33.509998,33.689999,30.365482,30407800
2021-03-02,33.680000,33.889999,33.500000,33.509998,30.203243,27670400
2021-03-03,33.509998,34.450001,33.439999,34.389999,30.996410,46020200
