Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,340.399994,363.089996,339.200012,359.980011,359.980011,8598300
2021-01-05,360.390015,365.010010,349.000000,360.829987,360.829987,4983500
2021-01-06,351.000000,352.940002,341.920013,344.410004,344.410004,7124600
2021-01-07,346.000000,354.480011,341.600006,342.500000,342.500000,5601200
2021-01-08,345.200012,350.000000,340.339996,349.609985,349.609985,5009200
2021-01-11,344.980011,349.959991,336.850006,337.709991,337.709991,3360400
2021-01-12,333.200012,358.899994,331.100006,356.809998,356.809998,8934400
2021-01-13,360.000000,384.230011,348.651001,364.630005,364.630005,14056500
2021-01-14,371.000000,384.950012,370.500000,383.239990,383.239990,9311000
2021-01-15,397.709991,404.440002,382.070007,384.529999,384.529999,12799500
2021-01-19,391.010010,396.769989,385.510010,393.869995,393.869995,5709400
2021-01-20,399.109985,399.529999,378.319000,382.799988,382.799988,5713900
2021-01-21,383.029999,387.209991,372.029999,382.809998,382.809998,5180800
2021-01-22,380.989990,385.290009,376.380005,383.399994,383.399994,2791600
2021-01-25,388.989990,398.799988,378.269989,391.829987,391.829987,5178100
2021-01-26,391.079987,395.820007,372.200012,374.390015,374.390015,5151300
2021-01-27,367.500000,384.253998,362.765991,370.739990,370.739990,4557500
2021-01-28,368.000000,383.313995,363.859985,378.589996,378.589996,3374200
2021-01-29,379.000000,385.910004,358.619995,372.070007,372.070007,3959000
2021-02-01,369.000000,382.779999,368.130005,381.929993,381.929993,3443900
2021-02-02,384.500000,394.890015,378.679993,391.839996,391.839996,3780100
2021-02-03,395.790009,395.790009,379.000000,380.470001,380.470001,3433100
2021-02-04,383.500000,390.000000,376.869995,389.980011,389.980011,2528100
2021-02-05,387.859985,420.000000,387.859985,419.589996,419.589996,9759100
2021-02-08,420.739990,422.000000,406.500000,410.809998,410.809998,3731500
2021-02-09,411.695007,434.670013,410.312988,430.029999,430.029999,5115400
2021-02-10,431.890015,441.220001,416.144012,431.000000,431.000000,4738300
2021-02-11,433.989990,443.750000,429.510010,432.769989,432.769989,3502600
2021-02-12,431.519989,435.000000,423.130005,433.109985,433.109985,2077800
2021-02-16,438.796997,451.769989,436.700012,444.510010,444.510010,4249200
2021-02-17,440.019989,441.200012,418.250000,429.420013,429.420013,4006500
2021-02-18,426.750000,428.880005,414.000000,417.910004,417.910004,2645300
2021-02-19,419.220001,425.989990,414.500000,417.260010,417.260010,2195000
2021-02-22,408.500000,411.720001,390.600006,394.339996,394.339996,4340300
2021-02-23,371.010010,389.989990,351.809998,388.160004,388.160004,5558200
2021-02-24,383.130005,388.674988,375.619995,385.230011,385.230011,3442400
2021-02-25,383.779999,387.654999,361.010010,364.730011,364.730011,4585100
2021-02-26,367.950012,377.093994,356.170990,373.609985,373.609985,4702400
2021-03-01,388.660004,416.200012,387.010010,409.660004,409.660004,10044700
2021-03-02,439.600006,440.000000,371.820007,372.790009,372.790009,18156600
2021-03-03,383.000000,383.250000,339.000000,341.570007,341.570007,15526000
2021-03-04,347.799988,358.299988,333.000000,343.089996,343.089996,10328100
2021-03-05,345.390015,347.750000,314.380005,337.429993,337.429993,8255500
2021-03-08,334.989990,339.350006,309.000000,310.929993,310.929993,6899100
2021-03-09,331.950012,343.575989,320.799988,342.109985,342.109985,5705200
2021-03-10,347.989990,355.690002,333.010010,336.029999,336.029999,4730000
2021-03-11,347.989990,357.398010,338.799988,355.170013,355.170013,3915400
2021-03-12,342.010010,350.440002,338.429993,346.390015,346.390015,2960800
2021-03-15,347.075989,351.559998,343.500000,350.000000,350.000000,1988200
2021-03-16,351.989990,355.489990,333.690002,335.079987,335.079987,3333200
2021-03-17,328.570007,340.540009,322.660004,336.649994,336.649994,3593200
2021-03-18,330.000000,330.329987,316.000000,316.320007,316.320007,5434400
2021-03-19,316.829987,327.976990,313.630005,326.260010,326.260010,4981400
2021-03-22,329.450012,333.890015,327.010010,328.500000,328.500000,2947900
2021-03-23,330.000000,347.399994,329.351990,339.760010,339.760010,5723800
2021-03-24,338.674988,339.989990,314.350006,314.959991,314.959991,4924500
2021-03-25,310.950012,320.630005,308.309998,314.850006,314.850006,3564800
2021-03-26,312.890015,320.000000,306.750000,319.950012,319.950012,3219800
2021-03-29,317.070007,322.970001,305.779999,308.390015,308.390015,3041400
2021-03-30,305.000000,314.880005,302.320007,313.190002,313.190002,2837100
2021-03-31,315.234985,325.739990,311.130005,321.290009,321.290009,2773200
2021-04-01,325.980011,338.910004,325.500000,326.230011,326.230011,2853900
2021-04-05,327.829987,328.500000,313.100006,323.959991,323.959991,3024700
2021-04-06,323.750000,332.660004,321.660004,329.790009,329.790009,3767100
2021-04-07,329.109985,333.440002,319.230011,323.079987,323.079987,4197700
2021-04-08,326.850006,333.989990,326.000000,331.279999,331.279999,2821500
2021-04-09,329.102997,329.820007,319.420013,322.649994,322.649994,3216500
2021-04-12,318.100006,322.380005,315.190002,321.510010,321.510010,2964500
2021-04-13,327.358002,343.708008,325.500000,342.750000,342.750000,5298200
2021-04-14,344.720001,345.019989,328.630005,329.200012,329.200012,2844900
2021-04-15,334.144989,338.420013,327.459991,332.380005,332.380005,3360700
2021-04-16,330.269989,333.750000,326.869995,329.950012,329.950012,2476500
2021-04-19,327.519989,337.795013,320.500000,324.329987,324.329987,3131900
2021-04-20,326.730011,327.549988,316.359985,321.779999,321.779999,2282500
2021-04-21,317.010010,323.109985,313.500000,322.760010,322.760010,1917500
2021-04-22,322.665009,338.049988,322.665009,328.320007,328.320007,3328300
2021-04-23,331.489990,338.549988,328.239990,336.880005,336.880005,2454300
2021-04-26,337.510010,338.000000,329.209991,336.420013,336.420013,2286700
2021-04-27,336.390015,341.679993,330.890015,333.489990,333.489990,2208300
2021-04-28,330.239990,334.700989,326.045013,331.250000,331.250000,1437600
2021-04-29,331.160004,332.500000,318.890015,321.100006,321.100006,3121100
2021-04-30,318.029999,326.278992,317.239990,319.570007,319.570007,2152500
2021-05-03,320.239990,321.125000,311.529999,313.920013,313.920013,2253000
2021-05-04,310.959991,311.500000,298.769989,304.850006,304.850006,3727600
2021-05-05,306.529999,310.980011,294.500000,297.589996,297.589996,2582600
2021-05-06,295.200012,295.200012,285.609985,293.049988,293.049988,3369100
2021-05-07,295.437012,304.696991,292.709991,295.239990,295.239990,2446200
2021-05-10,293.010010,293.940002,286.040009,288.489990,288.489990,2507800
2021-05-11,273.910004,302.000000,273.200012,300.250000,300.250000,4084400
2021-05-12,291.049988,296.529999,282.404999,289.700012,289.700012,3419800
2021-05-13,293.980011,296.609985,275.799988,290.160004,290.160004,4608500
2021-05-14,292.149994,309.179993,292.149994,307.890015,307.890015,4357300
2021-05-17,304.829987,311.910004,301.929993,308.929993,308.929993,2905600
2021-05-18,309.410004,322.250000,304.970001,312.859985,312.859985,3311900
2021-05-19,301.579987,311.510010,299.000000,310.459991,310.459991,1728400
2021-05-20,314.250000,325.950012,313.029999,324.709991,324.709991,3029400
2021-05-21,328.209991,329.450012,316.061005,316.399994,316.399994,2057300
2021-05-24,318.519989,324.029999,316.500000,321.559998,321.559998,1855000
2021-05-25,322.709991,325.510010,316.079987,321.279999,321.279999,2160100
2021-05-26,324.299988,329.459991,323.239990,326.049988,326.049988,2374300
2021-05-27,324.109985,331.000000,317.549988,326.429993,326.429993,3622100
2021-05-28,330.510010,336.329987,329.630005,331.529999,331.529999,2745700
2021-06-01,333.329987,336.140015,321.700012,327.720001,327.720001,6607100
2021-06-02,331.884003,333.790009,322.209991,327.109985,327.109985,6252100
2021-06-03,320.114014,325.829987,318.250000,319.010010,319.010010,3107300
2021-06-04,321.591003,338.989990,319.769989,336.000000,336.000000,5604900
2021-06-07,332.670013,344.929993,331.122986,342.660004,342.660004,4538700
2021-06-08,343.000000,350.149994,339.220001,341.260010,341.260010,2842700
2021-06-09,330.630005,340.339996,330.230011,333.630005,333.630005,2721200
2021-06-10,332.049988,346.880005,331.000000,346.500000,346.500000,2809200
2021-06-11,347.640015,367.959991,345.100006,366.399994,366.399994,6783400
2021-06-14,361.869995,369.576996,359.398987,365.910004,365.910004,3444300
2021-06-15,364.500000,364.500000,357.048004,359.000000,359.000000,2587900
2021-06-16,357.815002,366.829987,355.410004,361.829987,361.829987,2669200
2021-06-17,358.204987,374.519989,358.204987,372.950012,372.950012,3416600
2021-06-18,374.010010,379.890015,370.929993,374.239990,374.239990,4569100
2021-06-21,368.779999,372.623993,363.290009,369.250000,369.250000,1896900
2021-06-22,368.510010,377.000000,368.500000,374.649994,374.649994,1999000
2021-06-23,375.000000,382.709991,373.989990,376.920013,376.920013,2358900
2021-06-24,378.450012,382.500000,372.320007,373.399994,373.399994,2438900
2021-06-25,374.070007,374.079987,364.079987,372.470001,372.470001,3647200
2021-06-28,375.940002,393.329987,374.500000,388.859985,388.859985,3459900
